Coach,PassAtt,PassCmp,PassYds,PassTDs,PassInt,RushAtt,TopRushAtt,RushYds,TopRushYds,RushTDs,TopRushTDs,QbRuYds,TopTwoWrRec,TopTwoWrYds,TopTwoWrTDs,TopTeRec,TopTeYds,TopTeTDs,TopRbRecs,TopRbReYds,TopRushAttPrct,TopRushYdsPrct,TopRushTDsPrct,StartingWrRecPrct,StartingWrYdsPrct,StartingWrTDsPrct,TopTeRecPrct,TopTeYdsPrct,TopTeTdsPrct,TopRbRecPrct,TopRbReYdsPrct,CompletionPrct,YdsPerPass,YdsPerRush,TopWrRec,TopWrYds,TopWrTDs,TopWrRecPrct,TopWrYdsPrct,TopWrTDsPrct,YrsExp,Team,Position
Adam Gase,601.667,398.000,4731.333,38.667,12.333,457.333,212.667,1837.333,928.333,14.667,8.000,52.000,160.667,2337.333,17.000,53.667,572.000,9.000,46.000,420.333,0.4642,0.5047,0.5400,0.3974,0.4837,0.4134,0.1358,0.1193,0.2203,0.1157,0.0891,0.6596,7.825,4.018,85.667,1285.333,9.667,0.2131,0.2685,0.2400,3,MIA,HC
Andy Reid,546.765,324.294,3764.059,23.412,13.353,418.647,208.353,1911.529,934.294,14.059,6.882,389.412,106.059,1494.471,9.647,47.706,553.588,4.000,54.647,476.176,0.4945,0.4876,0.4879,0.3275,0.3960,0.4006,0.1469,0.1473,0.1715,0.1679,0.1264,0.5933,6.882,4.556,62.059,873.471,6.412,0.1919,0.2321,0.2650,17,KC,HC
Ben McAdoo,615.000,387.500,4487.000,33.000,14.000,426.000,206.000,1606.000,792.000,9.000,5.000,44.500,157.500,2245.000,18.000,52.500,543.500,4.500,44.500,360.500,0.4836,0.4931,0.5692,0.4066,0.5003,0.5417,0.1358,0.1212,0.1417,0.1144,0.0802,0.6301,7.297,3.781,93.500,1377.500,12.500,0.2412,0.3069,0.3806,2,NYG,HC
Bill Belichick,549.714,340.143,3981.524,27.476,12.857,451.190,199.714,1756.429,810.762,14.381,7.810,82.333,137.857,1752.476,11.286,38.190,498.000,5.476,42.857,401.762,0.4415,0.4606,0.5476,0.3988,0.4401,0.4145,0.1097,0.1193,0.1794,0.1304,0.1050,0.6171,7.238,3.878,82.143,997.286,7.571,0.2377,0.2502,0.2785,21,NE,HC
Bill Musgrave,534.143,318.857,3507.143,20.429,15.571,431.000,268.429,1942.714,1260.286,13.286,7.286,217.571,125.857,1598.429,8.714,32.429,347.857,3.000,35.857,271.857,0.6194,0.6433,0.5413,0.3928,0.4524,0.4242,0.1028,0.1010,0.1611,0.1128,0.0779,0.6051,6.647,4.454,76.000,954.000,5.429,0.2384,0.2719,0.2654,7,OAK,OC
Bill O'Brien,572.000,351.333,4265.333,30.000,12.333,487.000,208.000,1885.333,870.333,12.333,7.000,131.667,164.000,2198.667,12.667,42.667,591.667,6.667,27.333,237.667,0.4243,0.4526,0.5212,0.4728,0.5288,0.4284,0.1138,0.1236,0.1834,0.0821,0.0601,0.6139,7.438,3.872,106.000,1433.333,8.667,0.3008,0.3404,0.2943,3,HOU,HC
Brad Childress,524.700,312.800,3594.500,20.800,15.500,440.600,249.600,1955.100,1101.900,15.500,9.000,211.100,103.100,1423.600,9.800,43.100,468.000,3.700,46.900,453.400,0.5605,0.5610,0.5747,0.3300,0.3930,0.4789,0.1367,0.1306,0.1601,0.1493,0.1250,0.5962,6.858,4.414,60.500,858.300,6.200,0.1937,0.2367,0.2964,10,KC,OC
Bruce Arians,530.083,323.333,3925.750,24.083,16.000,437.500,227.500,1712.500,865.917,11.167,6.417,111.167,135.917,1901.750,12.250,38.500,426.167,3.000,35.250,306.000,0.5173,0.4999,0.5707,0.4191,0.4828,0.5218,0.1189,0.1066,0.1209,0.1099,0.0798,0.6113,7.408,3.902,79.333,1077.083,7.667,0.2453,0.2753,0.3309,12,ARI,HC
Chan Gailey,502.385,291.154,3407.154,21.000,17.538,471.923,275.846,1992.385,1179.462,14.462,8.385,259.692,121.308,1672.538,11.077,27.462,298.231,3.462,30.846,274.077,0.5791,0.5887,0.5893,0.4173,0.4903,0.5206,0.0926,0.0879,0.1597,0.1050,0.0793,0.5784,6.789,4.249,75.462,1069.000,7.000,0.2600,0.3143,0.3300,13,NYJ,OC
Chip Kelly,584.000,366.333,4442.667,27.333,16.000,472.333,273.000,2100.333,1209.333,16.667,7.000,239.667,131.000,1893.667,15.333,56.333,685.667,4.000,49.000,438.000,0.5740,0.5637,0.4162,0.3628,0.4250,0.5587,0.1508,0.1546,0.1430,0.1359,0.0987,0.6262,7.673,4.423,84.000,1215.667,9.000,0.2319,0.2732,0.3331,3,SF,HC
Chuck Pagano,622.500,363.500,4329.000,28.500,15.750,415.000,196.750,1616.000,709.250,10.250,5.000,282.000,141.250,1945.750,10.250,50.500,598.500,4.500,29.250,246.000,0.4758,0.4474,0.5470,0.3908,0.4501,0.3778,0.1395,0.1377,0.1526,0.0797,0.0573,0.5837,6.940,3.894,84.750,1226.750,6.500,0.2353,0.2839,0.2357,4,IND,HC
